affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,zipcode_link,zip4,PROVINCE,URB,INCOME,SOCCL_A,SOCCL_B1,SOCCL_B2,SOCCL_C,SOCCL_D,EDU_HIGH,EDU_MID,EDU_LOW,DINK,OWN_HOUSE,AVG_HOUSE,RENT_PRICE,STAGE_OF_LIFE,SINGLE,FAM,FAM_WCHILD,SINGLES_YOUNG,SINGLES_MID,SINGLES_OLD,FAM_CHILD_Y,FAM_CHILD_O,FAM_WCHILD_Y,FAM_WCHILD_MED,FAM_WCHILD_OLD,CIT_HOUSEHOLD,LOAN,SAVINGS,SHOP_ONLINE,CAR
other,Policycreated,1020,10007,10018,1013,Jul-66,PEUGEOT,10/17/18,10/17/18,11/02/18,801.2299805,2012,September,NA,NA,Y,10/23/18,10018,1013,North Holland,1,2,4,3,2,1,1,5,2,1,3,2,9,NULL,1,5,4,2,4,3,1,4,3,2,2,1,4,4,6,6,1
Insuro,Personaloffer,1021,NA,10019,1097,Feb-70,DAEWOO,10/17/18,NA,NA,198.9600067,2003,October,Y,NA,NA,10/23/18,10019,1097,North Holland,1,1,5,2,2,1,1,5,2,1,6,1,13,11,4,2,5,3,1,1,2,4,4,1,1,3,6,5,6,6,4
other,Policycreated,1022,10008,10020,9528,Feb-54,PEUGEOT,10/17/18,10/17/18,12/01/18,328.7799988,2012,April,NA,NA,Y,10/18/18,10020,9528,Drenthe,7,2,3,4,2,1,1,2,4,2,5,5,9,NULL,9,3,4,4,1,1,3,3,3,1,2,4,4,2,5,5,5
other,Policycreated,1023,10009,10020,9528,Feb-54,KIA,10/17/18,10/17/18,01/01/19,147.9100037,2013,October,NA,Y,NA,10/18/18,10020,9528,Drenthe,7,2,3,4,2,1,1,2,4,2,5,5,9,NULL,9,3,4,4,1,1,3,3,3,1,2,4,4,2,5,5,5
Insuro,Incompleterequest,1024,NA,10021,2331,Oct-63,HYUNDAI,10/17/18,NA,NA,373.5599976,1999,August,Y,NA,NA,10/17/18,10021,2331,South Holland,2,3,1,3,4,2,1,2,3,4,3,1,7,9,2,4,4,3,1,3,2,3,3,2,3,1,5,4,3,3,2
Insuro,Policycreated,1096,10035,10021,2331,Oct-63,SUZUKI,10/31/18,10/31/18,11/01/18,377.7600098,1998,August,Y,NA,NA,10/31/18,10021,2331,South Holland,2,3,1,3,4,2,1,2,3,4,3,1,7,9,2,4,4,3,1,3,2,3,3,2,3,1,5,4,3,3,2
Insuro,Policycreated,1025,10010,10022,2512,Aug-91,VOLKSWAGEN,10/18/18,10/18/18,10/19/18,477.3599854,2009,March,Y,NA,NA,10/18/18,10022,2512,South Holland,1,4,1,1,2,4,3,2,2,5,1,1,5,9,3,5,4,2,2,3,4,3,2,1,2,1,3,5,2,2,1
Insuro,Calculatenewpremium,1027,NA,10023,2401,Jun-72,VOLVO,10/18/18,NA,NA,718.5599976,1996,January,NA,NA,Y,10/18/18,10023,2401,South Holland,3,6,2,5,1,1,1,2,5,1,5,5,7,NULL,4,2,4,5,1,2,1,4,3,2,3,4,5,2,6,5,5
Insuro,Policycreated,1028,10011,10024,6942,May-67,VOLKSWAGEN,10/18/18,10/18/18,11/06/18,327.480011,2016,July,NA,NA,Y,10/18/18,10024,6942,Gelderland,5,3,3,4,2,2,1,3,4,2,4,5,9,NULL,9,3,3,5,1,1,3,1,3,1,4,4,3,1,5,3,5
other,Requestwithdrawn,1030,10012,10025,3205,Jan-62,VOLVO,10/18/18,10/18/18,11/01/18,476.3999939,2007,June,NA,NA,Y,10/19/18,10025,3205,South Holland,3,2,1,5,2,1,1,2,5,2,5,4,6,NULL,6,3,4,5,1,2,2,2,4,2,3,4,5,4,6,5,5
Seguros International Ltd.,Incompleterequest,1031,NA,10026,1011,Nov-76,VOLVO,10/18/18,NA,NA,340.2000122,2000,November,Y,NA,NA,10/18/18,10026,1011,North Holland,1,3,1,3,4,1,1,1,5,2,1,1,11,4,3,5,3,3,1,3,4,2,3,1,1,3,2,1,4,3,1
